MLS,Location,Price,Bedrooms,Bathrooms,Size,Price SQ Ft,Status
132842,Arroyo Grande,795000,3,3,2371,335.3,Short Sale
134364,Paso Robles,399000,4,3,2818,141.59,Short Sale
135141,Paso Robles,545000,4,3,3032,179.75,Short Sale
135712,Morro Bay,909000,4,4,3540,256.78,Short Sale
136282,Santa Maria-Orcutt,109900,3,1,1249,87.99,Short Sale
136431,Oceano,324900,3,3,1800,180.5,Short Sale
137036,Santa Maria-Orcutt,192900,4,2,1603,120.34,Short Sale
137090,Santa Maria-Orcutt,215000,3,2,1450,148.28,Short Sale
137159,Morro Bay,999000,4,3,3360,297.32,Short Sale
137570,Atascadero,319000,3,2,1323,241.12,Short Sale
138053,Santa Maria-Orcutt,350000,3,2,1750,200,Short Sale
138730,Santa Maria-Orcutt,249000,3,2,1400,177.86,Short Sale
139291,Arroyo Grande,299000,2,2,1257,237.87,Short Sale
139427,Santa Maria-Orcutt,235900,3,2,1400,168.5,Short Sale
139461,Santa Maria-Orcutt,348000,3,2,1600,217.5,Short Sale
139661,Paso Robles,314000,4,3,1794,175.03,Short Sale
139918,Los Alamos,399000,4,2,1850,215.68,Short Sale
139932,San Miguel,599000,3,3,2950,203.05,Short Sale
140044,Paso Robles,299000,3,2,1719,173.94,Short Sale
